Quality	#1 ID	#2 ID	#1 String	#2 String
0	1034	103400002	is the appointer of	death date
0	1211	121100004	List the s network's sister names is	web
1	1567	156700001	was founded	foundation
0	2695	269500003	has and	origin
0	2358	235800004	is the film director of	color process
0	1174	117400003	List the mascot of the are a part of	club
0	1733	173300003	edited	title
0	1485	148500004	Is currently in the	bowloutcome
0	3276	327600006	has resting place at office at	latm
0	1457	145700003	Amongst the winner of has as doctoral supervisor	short description
0	2142	214200004	sport is known for employes	date of death
0	2965	296500003	manages the operator of	type of electrification
0	3919	391900007	owns the company that made the	body style
0	3260	326000007	home stadiums of teams managed by	clubs
0	1362	136200006	is the location city of the is place of birth of the	profession
0	1607	160700005	home stadiums are there of the seasons chairman in	i
1	1405	140500002	other destinations do s go to flights come to	destinations
1	2267	226700002	's mouth is located in has source location as	river mouth
0	2906	290600003	states in the	sport
0	453	45300004	Is the painter of	previous work
0	3409	340900007	Organization holding stocks of Galician s	name
1	2645	264500001	List the launch site of the s one of the launch site has been	launch site
1	104	10400001	all those 've played for the youth club owns the stadium	youthclubs
0	808	80800002	Is the editor of	producer
0	1335	133500005	some owned by and	sat chan
1	3797	379700002	automobile platform provider of is the parent company of the	parent company
0	3764	376400006	is the owning of the bank parent is	parent company
0	2924	292400006	Is the narrator of	birth year
0	1012	101200003	the directors of	runtime
0	3339	333900007	companies have manufactured the rockets launched from the	city served
1	1431	143100002	families of the kingdom	family
1	2591	259100001	are the prizes awarded to the main members of	award
0	1286	128600003	In s is a common food ingredient	zinc mg
0	539	53900006	holy things canonized	attributes
1	3680	368000001	is manufactured by togather	manufacturer
0	3003	300300007	is the stylistic origin of the s the is important	occupation
1	1756	175600002	non fiction subjects are covered in s by publishers	non fiction subject
0	1325	132500006	To destinations does fly	icao
0	2043	204300003	Relatives of used to follow religions	nationality
0	2603	260300004	is the developer of the is produced by	predecessor
0	3303	330300006	Is the bmember of	genre
0	327	32700006	the director is it's music composer is	birth date
0	648	64800005	In race did the racehorse the horse trainer participate	fff
0	1621	162100002	represent the constituencies of and	latd
0	456	45600003	boarder country of was the state of	tradchinesename
1	2536	253600002	developed based on the series	series
0	1873	187300002	is the musician of	producer
0	99	9900004	employer of the engineers one of the employer is	products
0	1134	113400002	rivers end in	population density km
0	2941	294100005	was the current champion of born	month played
0	772	77200005	is the birth city of the FC	socks
0	3418	341800006	around the	maximum depth
0	3798	379800004	Whihc successor of was built bu 	location
0	2239	223900004	are the nicknames given to the characters of The Wolves of the Mercy	creator
0	1195	119500003	To is the mascot	related mascots
0	92	9200006	is the incumbent of the the president of the	religion
0	3121	312100004	The official residence of	religion
0	3792	379200006	are the mascots of the s participating in the	title
0	3584	358400002	famous political figures are relatives to	branch
0	2615	261500007	other important things has the painter of done	runtime
0	871	87100005	is the successor of	aircraft type
1	3319	331900001	employes people	employer
0	1131	113100006	In wars has fought	alma mater
1	330	33000001	coached the marquet golden eagels during	coach
1	430	43000002	is the label of things produced by the band	label
0	3431	343100002	is the opens with and	next single
0	2789	278900002	were nominated for	occupation
1	1024	102400001	Did do the theme song of	opentheme
0	1832	183200005	all those youthclub performed at - La	gf
1	828	82800001	is the nationality of the is the sovereign state of the	nationality
1	3477	347700002	is the executive producer of the series having s	series
0	2849	284900003	has a child named is resting place as	birth date
0	2148	214800006	people were in a youthclub played in the	number of teams
0	3587	358700003	are starring in the s written by	place of death
0	1510	151000005	the TV producer is company is	section
0	1106	110600006	a was educated in	mpsub
1	2735	273500001	is affiliated to ic Religion	religious affiliation
0	150	15000003	holy places did consider as a saint	birth date
0	3639	363900007	s with publisher as writer as	b
0	360	36000007	is a successor of Kingship were	subject
0	219	21900005	all does the sister station of play	revenue
0	2801	280100003	is the nominee of	successor
0	1614	161400007	Companies founded in have typically divisions	territory
0	2891	289100004	is the successor is maker is	caption
0	367	36700006	To does is critical to	predecessor
0	1645	164500005	the commanders of s was one of the commander	death year
0	387	38700003	is the founder of	population total
0	187	18700002	people live in	subdivision type
1	1818	181800001	a sucessor was was educated at	alma mater
0	1598	159800004	has as it's affiliation	company slogan
0	346	34600002	is the performer of	track number
0	1865	186500003	produces the tv series made famous	birth date
0	3395	339500007	network is Prime time Entertainment has as executive producer	channel
1	1761	176100001	For a in institution were both both appointed	nominee
0	603	60300004	List the s directed by	founded by
0	1034	103400006	is the appointer of	death place
0	1463	146300004	teams are in a city were the tenants	y
0	2626	262600004	s are associated with & were born	years active
0	1659	165900003	To country do gabriel paris gordillo owe their allegiance	term end
0	2163	216300005	List the birthplace of the s studied in	image
1	1147	114700001	is the stadium of west Papus team	stadium
0	984	98400007	List the s cast member were born in	ground
0	3353	335300005	Does own the	pop est as of
0	2554	255400003	the located near has a nearby city as	stand
1	1863	186300001	List TV shows with producer as company is	company
0	3484	348400007	religions are followed by members of the societies architectural influences can be seen on the	location
0	2483	248300006	is the former partner of the was the former partner of	formercoach
0	3123	312300006	companies have as their parent company	hanja
0	2813	281300004	made the s on the famous album	recorded
0	2565	256500004	religions do diplomats typically follow	skills
0	3859	385900002	river goes through cohoes	place of death
0	287	28700006	Does operate in the industry	aux
0	1274	127400002	the common current team of the and	starts
0	369	36900006	is the death place of the is place of birth of the	death date
0	3393	339300003	List the border of the admin region shares border with	country origin
0	812	81200003	are the current members of	label
1	1325	132500001	To destinations does fly	destinations
1	968	96800001	Of all has been an editor of	editing
1	1101	110100002	's successor's predecessor is	predecessor
0	2904	290400006	parent organization of is the label of	producer
0	3917	391700004	TV show's producer is company is	birth date
0	711	71100002	is the administrative centre is	target airport
1	2365	236500002	garrison of is the route end of	route end
1	1928	192800002	s are played at the university president is	president
0	174	17400003	all is owned by a company one of division is	industry
0	1954	195400006	List the relative of	name
0	2871	287100003	List all the parents of coming from the	location
0	2362	236200003	first s in all the GPs was a first	team(s)
0	1125	112500007	List the major shrines of the s one of the shrine is	constructed date
1	1748	174800001	is the national origin of	national origin
0	373	37300005	has starred in the s was performing	death date
0	2736	273600004	In state does the is the alma mater of lie	office
0	321	32100006	companies are located in a speaking	additional info
0	3321	332100003	Whihc associate of is the founder of	longew
0	1399	139900003	ethinicity of is the state of origin of	caption
0	1123	112300006	is manufactured by a company headed by	occupation
1	2904	290400002	parent organization of is the label of	record label
0	1759	175900002	Is in the album	writing credits
0	403	40300006	died due to	iupac name
0	140	14000006	graduated from universities affiliated with the	tenant
0	1634	163400004	have been venerateds in and	ethnicity
0	3501	350100005	Is a school	influenced by
0	2023	202300003	List the home town of the have as one of it	admittanceorder
0	1241	124100007	games are played in s	occupation
0	1202	120200006	List all the teams have someone played their first game for the	misc
0	435	43500006	is the producer of	imagedimensions
0	1946	194600003	s have been cinematographed by	death place
1	3620	362000002	In states can I find s	state
0	2371	237100006	is regions served by the companies serves	ship builder
0	1483	148300006	faith of is the acadmeic interest of	notable students
1	2656	265600001	city is known for the people working in the western hospital	known for
0	3267	326700003	awards did the children of won	birth date
0	526	52600003	is the prime minister of is the minister of	term end
0	505	50500005	are the non-fiction topics in the s authors is	birth place
0	3	300004	In monarch did succeed someone	birth date
0	318	31800003	is the grave of of	before
0	3393	339300004	List the border of the admin region shares border with	languages
0	1700	170000006	Does the start in	mouth
1	741	74100001	county of is the birht place of	counties
0	3953	395300003	In cities do some railways operated by start	hq city
0	737	73700004	ethnicity do come from	weight
0	2087	208700006	is the hometown of the club is	clubname
0	1019	101900005	is the municipality of the the place of birth of the	birth date
1	679	67900001	Whihc alma mater of is the training center of	alma mater
0	3152	315200006	based produces	releasedate
0	830	83000006	the major shrine is in was canonized by	capital
0	374	37400003	Was the anthem of	official language
0	3757	375700002	veterans served at	former affiliations
0	2794	279400005	are the shareholder of the soccer club for m plays	caps
0	1705	170500005	is the profession of	death place
0	2983	298300003	are the relatives of the one of relatives is	birth date
0	2310	231000002	is the architect of	significant building
0	3360	336000006	are the s music is given by	alias
0	3908	390800006	is the for constituencies and	area land sq mi
0	2581	258100004	of is father to royalty	successor
1	2209	220900001	tv is created by	developer
0	1670	167000004	the sports played by	affiliation
0	2532	253200004	is the second track list of	genre
1	569	56900001	From state do the s come	religion
0	1756	175600004	non fiction subjects are covered in s by publishers	name
0	2124	212400004	things are people died in known for	location
1	417	41700001	honours did receive	honours
0	1491	149100004	songs are and	language
1	3457	345700001	institutes have campuses at and	campus
1	3007	300700001	List all the schools of the rugby player went to school named	school
0	3468	346800003	architects are there have made something used by	pastparks
0	2524	252400005	all the s	notable commanders
0	1453	145300002	is the former partner of	fullname
0	667	66700003	Is the a district in peru	seats4 title
0	3079	307900003	are theme music composer's home town is	divisions
0	448	44800005	is the leader of	population as of
0	2811	281100002	Is one of the languages spoken in	gdp ppp
0	3768	376800004	the tenants of the stadiums owned by	operator
0	681	68100006	is the spouse of	resting place
0	3681	368100004	is the Artist of the s film genre is	color
0	1010	101000007	some people working at someplace owned by	logo
0	2361	236100004	does the river end in	south
0	2672	267200003	is the meaning of the is a relegion of	seealso
0	880	88000004	In region was political figure elected	predecessor
0	2654	265400003	current member of Insect vs Robots is the music composer of	episode
0	3824	382400003	the painted by portrayed in	editing
0	1794	179400006	place did die at gave birth to	successor
0	1813	181300005	s fall into the biological family	familia
0	661	66100007	purpose of the is is know for	size
0	1496	149600006	are some in created to do	name
1	131	13100001	was the narrator of on the Road Again born	narrator
0	1042	104200004	Is a city close to	long m
0	3593	359300002	was member of boards at and	employer
0	2906	290600004	states in the	tv
0	2220	222000005	Was in the band	birth name
0	1477	147700003	is the region served by borders	divisions
1	1817	181700001	In places are the companies founded in operating	foundation place
0	3343	334300006	To educational institute does belong to	founding year
0	3504	350400003	the athletic department is called has a chancellor named	order
0	545	54500004	is the person child performed with	birth name
0	411	41100003	political ideology of the is relegion of	country
0	242	24200003	speak a language belonging to the kind of languages	origin
0	150	15000006	holy places did consider as a saint	canonized by
0	3080	308000003	is the common relegion of the country is celebrated	caption
0	3125	312500003	is the profession of the children of	alma mater
1	1652	165200002	List the s current team has the ground	ground
0	1809	180900004	is the theme music is by	background
1	1315	131500001	is the successor of john waldo from	successor
1	2295	229500001	did the died have faith in	religion
0	3441	344100004	is the base currency of the country operates the	owner
0	207	20700002	Does the have a junction at	locale
1	3153	315300001	is the venue of	venue
0	3318	331800005	's arena is	location
1	3307	330700002	the final resting place is was part of conflict	battle
0	2616	261600005	Did take birth in	imagesize
0	3457	345700004	institutes have campuses at and	former
1	2501	250100001	are similar to the ones produced by	executive producer
0	923	92300004	For games are both famous	influenced by
0	1129	112900006	is the maker of the engine of	name
0	969	96900002	owns Power Facility	coordinates type
0	3372	337200005	state has the	successor
0	428	42800003	currency is primarily used by the company is the label of	genre
0	1156	115600002	Does belong to the genre	fields
0	3498	349800005	are some famo founded in the	death plac
1	1699	169900001	List the relegion of is the life stance of	religion
0	2792	279200006	Is written in +	license
0	3288	328800006	List all the awards won by the artist has won	organizer
0	2677	267700003	are the awards won by the parent of s	parents
1	3292	329200001	In regions is the made	wine region
0	3372	337200002	state has the	map caption
0	1861	186100005	List the alma mater of the attended	type
1	3252	325200002	cities are around the bordering	border
0	3813	381300006	Is written in language	license
0	2742	274200007	the produces both F/A- E/F Hornet nad CH- Chinook	unit cost
0	2528	252800003	are the parent of the people that has POD as	place of death
0	1212	121200006	are some other services of the service is	name
0	176	17600007	parent organization of owns	location country
0	2951	295100004	the music artist collaborated with the spouse of	viaf id
0	454	45400003	the line of the is the hub airport of the	zone
1	155	15500001	location of is the location of	denomination
1	3448	344800001	Radios on topics can be tuned in to in DC	broadcast area
0	3711	371100006	different currencies are used in the places governed by the	title
0	228	22800006	the supervisor was has won	date of birth
1	2556	255600001	city is the place of birth of is the official residence of	birth place
0	2706	270600006	In s does own train stations	majoroperators
0	3820	382000004	has judge as sculptors as	record label
0	2800	280000005	Was a novel of the genre	format
0	3368	336800007	are some people born in known for	after
1	2713	271300001	the states have been billed by the s has billed	billed
0	2028	202800002	List the main ingredient of	caption
0	2381	238100005	the city with leader as neighboring municipality as Pregny-Chambsy	iso code region
0	946	94600006	are some common games played in and	type
0	24	2400006	the mascot of the military branch of	birth name
1	2138	213800001	governer of is the president of	governor
0	3922	392200005	is the producer of the single was the subsequent work of	length
1	2984	298400001	the other wine region of the s one of the wine region is	wine region
0	629	62900002	are made by	starring
0	2560	256000002	is the academic discipline of	lccn
0	2644	264400004	In country is del toro a capital of some region	dec precipitation mm
0	609	60900004	is the allegiance of the state of origin of the	birth date
0	3419	341900006	are some employees of Uni of santa cruz	website
0	3767	376700005	the Artist of :	genre
1	2680	268000001	Is written in	programming language
1	457	45700001	is the capital of located	county seat
0	245	24500003	are the major stockholders of the is the company of	country
0	3943	394300006	has architected cities	name
0	2669	266900005	Is of the phylum	small
0	3530	353000003	List the ingredients of	served
0	3135	313500007	people have fought wars was a commander	candidate
0	2073	207300002	are the platform one of the platform is	type
0	3279	327900005	battle is associated with to is associated	party
1	13	1300001	share holder of is the content license of the s	owner
0	805	80500002	s purpose is	known for
1	2362	236200001	first s in all the GPs was a first	first driver
1	1078	107800001	People from political parties exist in	party
1	604	60400001	Things going to the go	destination
0	2524	252400002	all the s	short description
0	379	37900007	is the label of the s group is	hometown
0	1253	125300007	is the owner of the original developer of	designer
0	2799	279900006	was first discovered by	field
0	238	23800006	Is belong to the domain	class
0	347	34700005	In other states do people live languages are spoken in	grass
0	2790	279000003	List the ideologies of the party of	death date
1	3872	387200001	are operated by city	operated by
0	3947	394700007	In areas is the broadcasted is a sister station of	programme format
0	1816	181600003	newspaper is Sweedish headquartered at	script
0	125	12500003	is the member of	note
0	323	32300007	genre of s are published by	parent company
0	2495	249500002	s were cinematographed by	occupation
1	3860	386000001	Is the chaired by	chairman
1	2169	216900002	are the s telecasted on the network has headquarters at	headquarters
0	1150	115000004	music composer is signed up with	known for
0	2415	241500005	s have a as their mascot	kingdom
1	3942	394200001	In different places are ed models living	hair color
0	2751	275100004	religions are followed by s	discipline
0	1022	102200002	are some journals of academic	influenced by
0	3497	349700006	was trained	birth name
0	3666	366600003	company developed and	latest release version
0	1587	158700002	did die	date of death
0	789	78900005	award that has been given to had used for some service	industry
1	1065	106500002	author inspired wrote	author
1	1645	164500001	the commanders of s was one of the commander	commander
0	3399	339900002	is the home stadium of 's women national football team	leftarm
0	3552	355200003	In races have 's s participated	breeder
0	3375	337500006	did die	active years start year
0	1061	106100005	is city mayor is	birth year
0	3466	346600003	wrote the s produced by	key people
0	2075	207500004	the islands that belong to the archipelago largest city is	apr precipitation mm
0	2746	274600005	is the subject of	name
1	2578	257800001	List the common relegion affiliation of khadra and	religion
1	1279	127900001	Under president was a lieutenant	lieutenant
0	2926	292600003	some s in a archipelago	end point
1	3519	351900002	some relatives of the people studied in	relative
0	2822	282200003	sports are played in s in the	state
1	158	15800001	researchers received fellowship from	award
0	3261	326100003	is the Home Stadium of the was born	regional name
0	2100	210000003	is the chancellor of the campus is in	latd
0	704	70400003	the office of	birth date
0	2802	280200005	the wine regions of	varietals
0	3321	332100007	Whihc associate of is the founder of	time zone
1	3471	347100001	are the spouse of the actors of	starring
0	1860	186000003	Does currently play for	state
0	2569	256900004	are some	competitions
1	3617	361700001	are some by	network
0	776	77600007	are there children died in	poem
1	3475	347500002	are some s associated with the ones signed up with	associated musical artist
1	317	31700001	the garrisoned at	garrison
0	3940	394000006	did the members of judge advocate general corps study	identification symbol2 label
0	2533	253300005	writer of is the writer of	publisher en
0	126	12600002	is the mayor of city	before
0	309	30900006	is the awards given to the grandson is the famous	country
0	424	42400006	are a few s family is	image caption
0	2177	217700006	List the relatives of the governor of	death place
0	1730	173000006	are some people relation is hqed in	building type
0	3114	311400005	is the writer of	title
1	2426	242600001	have children named and	children
0	1753	175300006	everything garrisoned at	jurisdiction
0	2474	247400007	s have a hub at an airport run by	logo
0	1352	135200003	some TV theme is made by a bassociated with	caption
0	330	33000005	coached the marquet golden eagels during	name
0	1252	125200006	team were the drafted to are in the	occupation
1	3619	361900002	are some s publishers are themselves members	award
0	1453	145300005	is the former partner of	partner
1	3232	323200001	Is the Caterpullar assembled in	assembly
0	3220	322000003	the has a child named resting place is	former band member
0	2423	242300004	List the things for of are famous for	located in area
0	3452	345200007	List all the movies directors were born in	area water
0	3360	336000003	are the s music is given by	theme music composer
0	2037	203700004	the died in	name
0	3000	300000004	is the capital of the maintains the	mainspan
1	3500	350000001	are some things people born in are famous for	place of birth
1	375	37500002	cities does the goes through tributary is the in	left tributary
0	570	57000002	List the ceremonial county of	country
0	2251	225100003	teams participate in the football headed by	fullname
1	647	64700001	To military division does belong	military branch
1	3637	363700002	s are owned by citizens	owners
0	2600	260000003	is the alma mater of the s known for	fields
0	1391	139100002	does flow into	mouth lat d
0	3718	371800003	s editor is	years active
0	1098	109800003	Is a main ingredient of	opt2n
0	1899	189900006	did the conflict take place in fought	commander
0	1069	106900004	is the Pole driver of	country
1	952	95200001	is the has n as relatives	relatives
0	1188	118800002	Was a bmember of	record label
0	1760	176000007	The shrine is in 's Basilica was venerated in sects	place of priestly ordination
0	2450	245000006	List the discipline of the journals publisher is	founding year
1	2201	220100002	the was educated at won the Screen Actor Guild Life Achievement Award	award
0	1247	124700002	is the academic advisor was	death date
1	1701	170100001	university's graduates have worked in the	alma mater
0	2797	279700002	is the colour of	formula
0	3706	370600005	largest city of is the largest city of	elevation
1	3262	326200001	foundation palce of is the death palce of	place of death
0	1601	160100006	is the common nationality of anad	birth date
0	201	20100004	can be found in country	publictransit
0	2504	250400004	was composed by m	record label
1	2902	290200001	religion does follow	religion
1	280	28000002	List the s headquarters's time zone is	headquarters
0	2830	283000004	the 's school	heightft
1	3827	382700002	workplace of the is the governing body of the	employer
0	1759	175900005	Is in the album	recorded
1	2275	227500002	List everything in languages developed by	author
0	3437	343700004	few TV aired by	launch date
0	3513	351300002	theme musics have been composed by	producer
0	1424	142400004	Does the start in	location
1	2534	253400001	was the influencer of starred in	influenced by
0	1070	107000006	List everything governed by the of	seats5 title
0	3337	333700003	acts artists are associated with people have worked with	associated band
0	191	19100006	railway lines go through the s maintained by Western Australian	jurisdiction
1	1630	163000002	In countries have the Start + s originated	national origin
0	39	3900002	are the hub is	locale
0	859	85900006	is the allegiance of	relatives
0	469	46900007	are the outflow of the lakes has one of the outflow as	minimum discharge
0	3638	363800004	teams have had people playing as	player positions
0	523	52300005	associat of is married to	title
0	1136	113600005	TV executive producer is composed by	background
0	752	75200006	is in the	latitude
0	523	52300004	associat of is married to	birth year
0	724	72400005	is the draft team of	birth place
0	2905	290500004	List the destination of	icao
0	1870	187000004	country provides a citizenship too and	birth date
0	43	4300005	was discovered by and	birth place
0	1495	149500004	driver had the pole position in	fast team
1	2510	251000001	To country does owe allegiance	allegiance
0	142	14200004	all that was built by a company leader is	alma mater
0	817	81700005	is the content license of	known for
0	3098	309800007	the located in has parent peak as	host city
0	510	51000005	has been founded in the state that is a part of 	ex image size
0	406	40600006	the species of	trinomial
0	2992	299200005	city amongst the one belongs to was the palce for	long s
0	2291	229100003	is telecasted on the network holds important position	editor
0	2793	279300003	is the common place DE- was built is one of the destinations of	headquarter
0	944	94400002	all play for the football team	club
0	3247	324700005	Is have an ic government	common name
0	2842	284200006	Did has the + OS	operating system
0	2874	287400006	all the music composers are in	genre
1	1284	128400001	were involved in the wars battled	battles
0	3918	391800006	does the s ending in begin	location
0	3297	329700002	is the stadium of	h shorts
0	1919	191900003	artists are associated with the members of the	blp
0	1016	101600003	is the owner of	language
0	3022	302200005	is the nationality of the was served by	death place
0	2567	256700005	Was recorded in	latd
0	2051	205100005	In state do live	term end
0	3629	362900003	the common serving line of and	can baggage checked
0	1393	139300006	is the president used to work for Democratic party	predecessor
1	3634	363400001	List the guests of	guests
0	1295	129500006	religion's are member of	governing body
0	4	400006	home town of is the death location of the	nationality
0	1350	135000005	Was beatified by	religion
0	1341	134100005	Whcih creator of created subsequent work of	last aired
0	2189	218900003	academic discipline of the journals one of the academic discipline is	known for
0	3025	302500005	info is manufactured by is the predecessor of PS 	manuf
0	1737	173700004	is the nationality of the is one of the important people in the	4ps
1	942	94200002	From different places have people gone to the	birth place
0	2194	219400004	are the awards won by the film director of	editor
0	3055	305500005	were the s primary interest was	occupation
1	2939	293900002	the with mouth palce source place as	source place
0	1428	142800007	series has an episode called a character named	title
0	1025	102500004	does take place	premiere place
0	1805	180500005	bwas a part of often performed with Q	birth date
0	1045	104500006	some working for	side
0	1507	150700006	is the successor's CPU is by	name
0	1547	154700006	are the s produced by	filename
0	2994	299400006	List down the opponents of	death cause
1	837	83700001	Is the former coach of	former coach
0	1941	194100005	s have been directed by almunies of	number of postgraduate students
0	2974	297400007	Current players of have previously different teams	conf titles
0	2623	262300007	To series does the book belong came after the Blade Runner	lcc
0	2402	240200005	List down all the cast members of	original language
0	3939	393900005	idelogy of the is the faith of	native name
0	998	99800005	Is the result of	conflict
1	1519	151900002	In different s can I find companies were founded in	locations
0	3122	312200004	is the debut team of people born in	binomial name
0	1934	193400007	belong to the network one of sister station is	slogan
1	2094	209400001	times has been casted	starring
1	3899	389900001	is the genre of	genre
